order_id,product_id,quantity,order_date,status
2026011300000,1,5,2026-01-13,SHIPPED
2026011300001,1,95,2026-01-13,DELIVERED
2026011300002,5,10,2026-01-13,SHIPPED
2026011300003,3,76,2026-01-13,SHIPPED
2026011300004,1,52,2026-01-13,SHIPPED
2026011300005,2,79,2026-01-13,CONFIRMED
2026011300006,1,1,2026-01-13,SHIPPED
2026011300007,4,87,2026-01-13,SHIPPED
2026011300008,1,85,2026-01-13,CONFIRMED
2026011300009,2,2,2026-01-13,CONFIRMED
2026011300010,3,21,2026-01-13,PENDING
2026011300011,5,57,2026-01-13,SHIPPED
2026011300012,3,41,2026-01-13,DELIVERED
2026011300013,2,6,2026-01-13,PENDING
2026011300014,3,48,2026-01-13,SHIPPED
2026011300015,4,100,2026-01-13,PENDING
2026011300016,3,19,2026-01-13,SHIPPED
2026011300017,1,93,2026-01-13,SHIPPED
2026011300018,4,38,2026-01-13,SHIPPED
2026011300019,4,35,2026-01-13,CONFIRMED
2026011300020,4,91,2026-01-13,SHIPPED
2026011300021,5,37,2026-01-13,SHIPPED
2026011300022,4,11,2026-01-13,DELIVERED
2026011300023,2,76,2026-01-13,PENDING
2026011300024,5,86,2026-01-13,SHIPPED
2026011300025,1,10,2026-01-13,CONFIRMED
2026011300026,2,30,2026-01-13,PENDING
2026011300027,3,59,2026-01-13,DELIVERED
2026011300028,4,7,2026-01-13,DELIVERED
2026011300029,3,40,2026-01-13,CONFIRMED
2026011300030,1,54,2026-01-13,DELIVERED
2026011300031,1,54,2026-01-13,SHIPPED
2026011300032,1,32,2026-01-13,SHIPPED
2026011300033,5,75,2026-01-13,PENDING
2026011300034,1,8,2026-01-13,PENDING
2026011300035,1,11,2026-01-13,PENDING
2026011300036,5,53,2026-01-13,PENDING
2026011300037,3,15,2026-01-13,SHIPPED
2026011300038,4,30,2026-01-13,PENDING
2026011300039,5,78,2026-01-13,CONFIRMED
2026011300040,1,70,2026-01-13,DELIVERED
2026011300041,2,38,2026-01-13,SHIPPED
